income,age,sex,employment,education
13500,48,Male,Self employed not incorporated,Bachelor's degree
20000,40,Female,Self employed not incorporated,no high school diploma
70000,31,Male,Employee of a private for profit,Bachelor's degree
38000,26,Female,Employee of a private for profit,Master's degree
40000,35,Male,Employee of a private for profit,"some college credit, no degree"
35000,40,Male,Employee of a private for profit,Regular high school diploma
10000,46,Male,Self employed not incorporated,no high school diploma
5100,25,Female,Employee of a private for profit,Master's degree
34800,43,Male,Employee of a private for profit,"some college credit, no degree"
65050,48,Male,Self employed not incorporated,"some college credit, no degree"
67000,45,Female,Employee of a private for profit,Associate's degree
120000,47,Male,Employee of a private for profit,Bachelor's degree
27000,34,Male,Employee of a private for profit,no high school diploma
75000,25,Male,Employee of a private for profit,Regular high school diploma
45000,40,Male,Employee of a private for profit,Bachelor's degree
85000,34,Male,Employee of a private for profit,Bachelor's degree
172000,32,Male,Employee of a private for profit,Master's degree
10000,22,Female,Employee of a private for profit,Bachelor's degree
75000,45,Male,Employee of a private for profit,Associate's degree
22000,42,Female,Employee of a private for profit,Regular high school diploma
160000,44,Male,Federal government employee,Bachelor's degree
40000,27,Male,Local government employee,Regular high school diploma
92000,45,Male,Employee of a private for profit,Bachelor's degree
14000,48,Female,Self employed not incorporated,Regular high school diploma
104000,45,Female,State government employee,Master's degree
68000,34,Female,Employee of a private for profit,"some college credit, no degree"
128000,44,Female,Employee of a private for profit,Bachelor's degree
89000,32,Female,Private not-for-profit employee,Bachelor's degree
118000,33,Male,Local government employee,GED or alternative credential
50000,28,Male,Local government employee,Bachelor's degree
55700,44,Female,Employee of a private for profit,Regular high school diploma
58000,39,Female,Local government employee,Master's degree
18000,25,Male,Employee of a private for profit,no high school diploma
18500,44,Male,Employee of a private for profit,"some college credit, no degree"
60000,45,Male,Self employed not incorporated,"some college credit, no degree"
75000,36,Female,Employee of a private for profit,Master's degree
1.00E+05,35,Female,Private not-for-profit employee,Master's degree
124000,31,Female,Employee of a private for profit,Bachelor's degree
31000,29,Female,Employee of a private for profit,Bachelor's degree
30000,31,Female,Employee of a private for profit,"some college credit, no degree"
75500,33,Male,Employee of a private for profit,Doctorate degree
45000,25,Female,Local government employee,Bachelor's degree
50000,36,Male,Employee of a private for profit,GED or alternative credential
48000,39,Female,Local government employee,Associate's degree
27000,48,Female,Employee of a private for profit,no high school diploma
45000,38,Female,Employee of a private for profit,"some college credit, no degree"
31000,31,Female,Employee of a private for profit,Bachelor's degree
110000,47,Male,Employee of a private for profit,Regular high school diploma
56000,35,Male,Federal government employee,Regular high school diploma
60000,27,Female,Employee of a private for profit,Regular high school diploma
33300,27,Female,Employee of a private for profit,Bachelor's degree
38000,38,Male,Employee of a private for profit,Regular high school diploma
55000,48,Male,Employee of a private for profit,Regular high school diploma
98000,26,Female,Local government employee,Bachelor's degree
18000,47,Male,Employee of a private for profit,no high school diploma
75000,45,Male,Employee of a private for profit,Master's degree
17400,20,Male,Private not-for-profit employee,Regular high school diploma
50000,27,Female,Employee of a private for profit,no high school diploma
24000,28,Male,Federal government employee,"some college credit, no degree"
52000,30,Female,State government employee,Bachelor's degree
21900,27,Female,Employee of a private for profit,"some college credit, no degree"
120000,32,Male,Employee of a private for profit,Bachelor's degree
73000,29,Male,Employee of a private for profit,Bachelor's degree
30000,29,Female,Employee of a private for profit,Master's degree
60000,46,Female,Employee of a private for profit,Bachelor's degree
95000,38,Male,Employee of a private for profit,"some college credit, no degree"
24000,39,Female,Employee of a private for profit,GED or alternative credential
46500,43,Female,Employee of a private for profit,Bachelor's degree
18000,39,Female,Employee of a private for profit,Regular high school diploma
28000,39,Female,Employee of a private for profit,Bachelor's degree
210000,28,Male,Self employed incorporated,Regular high school diploma
114500,40,Female,Employee of a private for profit,Professional degree
170000,41,Male,Employee of a private for profit,Professional degree
75000,25,Male,Employee of a private for profit,Bachelor's degree
75000,32,Male,Employee of a private for profit,Bachelor's degree
40000,47,Male,Employee of a private for profit,Regular high school diploma
23000,23,Female,Employee of a private for profit,Regular high school diploma
35000,28,Male,Employee of a private for profit,Bachelor's degree
1.00E+05,42,Male,Local government employee,Bachelor's degree
75000,40,Male,Local government employee,Regular high school diploma
20000,27,Male,Employee of a private for profit,Bachelor's degree
36000,44,Male,Employee of a private for profit,Regular high school diploma
20000,34,Female,Employee of a private for profit,Associate's degree
18000,29,Male,Employee of a private for profit,Bachelor's degree
31200,24,Female,Employee of a private for profit,Bachelor's degree
70000,50,Male,Employee of a private for profit,Regular high school diploma
38000,40,Male,Employee of a private for profit,Regular high school diploma
59000,48,Female,Local government employee,Master's degree
42500,50,Female,Employee of a private for profit,Bachelor's degree
40000,23,Female,Employee of a private for profit,Bachelor's degree
32000,29,Male,Employee of a private for profit,Bachelor's degree
128000,45,Male,Employee of a private for profit,"some college credit, no degree"
91000,38,Female,Local government employee,Master's degree
23000,32,Male,Employee of a private for profit,no high school diploma
107000,38,Male,Employee of a private for profit,Master's degree
45000,29,Male,Employee of a private for profit,Bachelor's degree
54000,25,Male,Employee of a private for profit,Master's degree
122000,41,Male,Employee of a private for profit,Regular high school diploma
54000,48,Male,Self employed incorporated,no high school diploma
37000,29,Male,Employee of a private for profit,"some college credit, no degree"
115000,31,Male,Employee of a private for profit,Bachelor's degree
56000,40,Female,Federal government employee,Associate's degree
51000,47,Female,Employee of a private for profit,Associate's degree
95000,44,Female,Employee of a private for profit,Master's degree
12000,20,Male,Employee of a private for profit,no high school diploma
58000,49,Male,Employee of a private for profit,"some college credit, no degree"
30000,41,Female,Employee of a private for profit,Bachelor's degree
42000,32,Female,Employee of a private for profit,Regular high school diploma
135000,47,Male,Employee of a private for profit,Bachelor's degree
25000,29,Male,Employee of a private for profit,no high school diploma
21600,42,Female,Employee of a private for profit,"some college credit, no degree"
20000,39,Female,Employee of a private for profit,Associate's degree
155000,39,Male,Employee of a private for profit,Bachelor's degree
28000,34,Male,Employee of a private for profit,Bachelor's degree
145030,44,Female,Private not-for-profit employee,Bachelor's degree
48000,34,Female,Private not-for-profit employee,Doctorate degree
7500,24,Female,Private not-for-profit employee,Bachelor's degree
10000,33,Male,Employee of a private for profit,no high school diploma
150000,33,Male,Employee of a private for profit,Bachelor's degree
250000,35,Female,Employee of a private for profit,Master's degree
32500,45,Male,Employee of a private for profit,Regular high school diploma
10800,46,Female,Employee of a private for profit,"some college credit, no degree"
50000,28,Male,Employee of a private for profit,Regular high school diploma
43000,43,Female,Local government employee,Regular high school diploma
76000,47,Female,Self employed incorporated,Bachelor's degree
114000,48,Female,Employee of a private for profit,Bachelor's degree
90000,45,Male,Employee of a private for profit,Regular high school diploma
30400,36,Female,Employee of a private for profit,Bachelor's degree
142000,48,Female,State government employee,Bachelor's degree
31000,29,Female,Employee of a private for profit,Associate's degree
102000,44,Female,Private not-for-profit employee,Master's degree
75000,25,Female,Employee of a private for profit,Bachelor's degree
50000,35,Male,Employee of a private for profit,Regular high school diploma
103000,40,Male,Private not-for-profit employee,Regular high school diploma
30000,37,Female,Employee of a private for profit,"some college credit, no degree"
140000,42,Female,Employee of a private for profit,Master's degree
87500,39,Female,Employee of a private for profit,Bachelor's degree
67000,34,Female,Employee of a private for profit,Bachelor's degree
20500,37,Female,Employee of a private for profit,GED or alternative credential
75000,45,Female,Employee of a private for profit,Bachelor's degree
60000,23,Male,Employee of a private for profit,Bachelor's degree
25200,35,Male,Employee of a private for profit,Regular high school diploma
72000,28,Male,Employee of a private for profit,"some college credit, no degree"
17000,21,Female,Employee of a private for profit,"some college credit, no degree"
74000,43,Male,Employee of a private for profit,Bachelor's degree
130000,45,Male,State government employee,Bachelor's degree
62000,27,Female,Employee of a private for profit,Professional degree
32000,45,Male,Employee of a private for profit,"some college credit, no degree"
44200,34,Female,State government employee,Regular high school diploma
20000,27,Male,Employee of a private for profit,Regular high school diploma
135000,45,Male,Local government employee,Bachelor's degree
1.00E+05,38,Female,Employee of a private for profit,Master's degree
130000,49,Male,Employee of a private for profit,Bachelor's degree
19800,38,Male,Employee of a private for profit,Regular high school diploma
40000,35,Male,State government employee,Bachelor's degree
24000,43,Female,Employee of a private for profit,Regular high school diploma
80000,45,Male,Employee of a private for profit,Bachelor's degree
50000,38,Male,Self employed not incorporated,"some college credit, no degree"
1.00E+05,38,Male,Employee of a private for profit,GED or alternative credential
22200,39,Male,Employee of a private for profit,Regular high school diploma
2000,20,Male,Employee of a private for profit,"some college credit, no degree"
180200,41,Male,Employee of a private for profit,Master's degree
106000,29,Male,Employee of a private for profit,Doctorate degree
42000,42,Male,Self employed incorporated,no high school diploma
35000,43,Female,Local government employee,Associate's degree
8000,39,Male,Employee of a private for profit,"some college credit, no degree"
70200,48,Female,Employee of a private for profit,Bachelor's degree
189000,50,Male,Employee of a private for profit,"some college credit, no degree"
27000,21,Male,Employee of a private for profit,no high school diploma
47000,25,Male,Employee of a private for profit,Bachelor's degree
19000,39,Male,Employee of a private for profit,Bachelor's degree
2700,20,Male,Employee of a private for profit,"some college credit, no degree"
65000,40,Female,Private not-for-profit employee,Bachelor's degree
250000,31,Male,Employee of a private for profit,Master's degree
99000,41,Female,Employee of a private for profit,Master's degree
75000,39,Male,Local government employee,Regular high school diploma
93000,45,Male,Employee of a private for profit,"some college credit, no degree"
70000,44,Female,Private not-for-profit employee,Master's degree
67000,31,Male,Employee of a private for profit,"some college credit, no degree"
50000,49,Female,Employee of a private for profit,Associate's degree
1.00E+05,45,Male,Employee of a private for profit,"some college credit, no degree"
109000,39,Female,Employee of a private for profit,Associate's degree
20000,21,Male,Employee of a private for profit,no high school diploma
60000,44,Male,Employee of a private for profit,"some college credit, no degree"
73000,42,Male,Employee of a private for profit,Master's degree
78000,27,Female,Employee of a private for profit,Doctorate degree
43000,26,Female,Employee of a private for profit,Bachelor's degree
62000,38,Female,State government employee,Master's degree
12000,43,Female,Employee of a private for profit,Regular high school diploma
51000,31,Male,Employee of a private for profit,Bachelor's degree
52000,50,Male,Employee of a private for profit,Regular high school diploma
96000,42,Male,Local government employee,Bachelor's degree
29000,20,Male,Employee of a private for profit,Regular high school diploma
37000,31,Female,Employee of a private for profit,Associate's degree
25000,44,Male,Employee of a private for profit,Regular high school diploma
31200,40,Male,Employee of a private for profit,no high school diploma
12000,21,Female,Local government employee,Regular high school diploma
130000,32,Male,Employee of a private for profit,Bachelor's degree
40000,36,Female,Local government employee,Master's degree
70100,40,Female,Employee of a private for profit,Master's degree
35000,34,Female,Employee of a private for profit,GED or alternative credential
46000,49,Male,Employee of a private for profit,"some college credit, no degree"
150000,44,Male,Employee of a private for profit,Bachelor's degree
86000,25,Male,Employee of a private for profit,Bachelor's degree
9000,30,Female,State government employee,Associate's degree
45000,24,Male,Employee of a private for profit,Bachelor's degree
28000,26,Male,Local government employee,Regular high school diploma
62000,31,Female,Employee of a private for profit,Associate's degree
59250,40,Female,Private not-for-profit employee,Doctorate degree
8000,25,Female,Employee of a private for profit,"some college credit, no degree"
35000,39,Male,Employee of a private for profit,Regular high school diploma
8000,36,Male,Employee of a private for profit,Associate's degree
110000,49,Female,Employee of a private for profit,Bachelor's degree
40000,28,Male,Employee of a private for profit,"some college credit, no degree"
15000,29,Female,Employee of a private for profit,Regular high school diploma
50000,44,Male,Employee of a private for profit,"some college credit, no degree"
63400,41,Male,Employee of a private for profit,GED or alternative credential
70000,36,Female,Employee of a private for profit,"some college credit, no degree"
49200,35,Female,Employee of a private for profit,Associate's degree
60000,29,Male,Employee of a private for profit,Bachelor's degree
76000,46,Male,Employee of a private for profit,Bachelor's degree
46000,35,Male,Employee of a private for profit,"some college credit, no degree"
32000,29,Female,Employee of a private for profit,Associate's degree
20800,21,Female,Employee of a private for profit,Bachelor's degree
120000,43,Female,Employee of a private for profit,Bachelor's degree
45000,23,Male,Employee of a private for profit,Associate's degree
80000,48,Male,Employee of a private for profit,Regular high school diploma
55000,22,Female,Employee of a private for profit,GED or alternative credential
120000,38,Male,Employee of a private for profit,Bachelor's degree
40000,28,Male,Employee of a private for profit,"some college credit, no degree"
86000,44,Female,State government employee,Master's degree
185020,31,Male,Employee of a private for profit,Professional degree
30000,31,Female,Employee of a private for profit,Bachelor's degree
1.00E+05,47,Female,Local government employee,Master's degree
50000,36,Female,Employee of a private for profit,"some college credit, no degree"
163700,48,Male,Federal government employee,Master's degree
8600,44,Male,Employee of a private for profit,no high school diploma
35000,47,Female,Employee of a private for profit,Regular high school diploma
21000,31,Female,Employee of a private for profit,no high school diploma
150000,32,Female,Employee of a private for profit,Bachelor's degree
25000,24,Male,Employee of a private for profit,Bachelor's degree
25500,41,Male,Employee of a private for profit,GED or alternative credential
44000,44,Female,Employee of a private for profit,"some college credit, no degree"
25200,35,Male,Employee of a private for profit,no high school diploma
35000,22,Female,Employee of a private for profit,Bachelor's degree
92000,43,Female,Private not-for-profit employee,Doctorate degree
52000,28,Female,Employee of a private for profit,Bachelor's degree
50000,36,Male,Employee of a private for profit,Doctorate degree
106000,37,Male,Employee of a private for profit,Associate's degree
36000,24,Female,Employee of a private for profit,Bachelor's degree
1.00E+05,32,Male,Employee of a private for profit,Doctorate degree
56000,29,Male,Employee of a private for profit,Regular high school diploma
87000,33,Female,Private not-for-profit employee,Master's degree
10000,49,Female,Employee of a private for profit,"some college credit, no degree"
4600,22,Male,Employee of a private for profit,no high school diploma
25000,35,Male,Employee of a private for profit,Regular high school diploma
30000,25,Male,Employee of a private for profit,no high school diploma
25000,25,Male,Employee of a private for profit,Regular high school diploma
20000,24,Male,Employee of a private for profit,Associate's degree
96000,46,Female,Employee of a private for profit,"some college credit, no degree"
80000,31,Male,Employee of a private for profit,Associate's degree
21000,29,Female,Local government employee,Bachelor's degree
24000,41,Male,Employee of a private for profit,"some college credit, no degree"
20000,40,Male,Self employed not incorporated,no high school diploma
115000,45,Female,Employee of a private for profit,Master's degree
30000,27,Male,Employee of a private for profit,Associate's degree
75000,30,Female,Employee of a private for profit,Bachelor's degree
31200,28,Female,Employee of a private for profit,no high school diploma
60000,31,Male,State government employee,Associate's degree
20600,49,Male,Self employed not incorporated,Bachelor's degree
120000,41,Male,Employee of a private for profit,Regular high school diploma
47000,30,Female,Local government employee,Bachelor's degree
115000,31,Male,Employee of a private for profit,Bachelor's degree
19000,38,Male,Employee of a private for profit,no high school diploma
15000,22,Male,Employee of a private for profit,Regular high school diploma
23000,35,Male,Employee of a private for profit,Regular high school diploma
60000,30,Female,Employee of a private for profit,Bachelor's degree
45000,47,Female,Employee of a private for profit,Bachelor's degree
72000,43,Female,Employee of a private for profit,Bachelor's degree
38000,47,Female,Local government employee,"some college credit, no degree"
15000,23,Male,Employee of a private for profit,Regular high school diploma
95000,49,Female,Private not-for-profit employee,Associate's degree
47500,39,Male,Employee of a private for profit,Bachelor's degree
90000,49,Male,Employee of a private for profit,Bachelor's degree
64000,47,Female,Employee of a private for profit,"some college credit, no degree"
67000,40,Female,Local government employee,Master's degree
160000,46,Male,Employee of a private for profit,Associate's degree
12000,35,Female,Employee of a private for profit,"some college credit, no degree"
15000,35,Female,Employee of a private for profit,Regular high school diploma
64000,34,Female,Local government employee,Master's degree
53000,28,Female,Employee of a private for profit,Bachelor's degree
38000,34,Female,Employee of a private for profit,"some college credit, no degree"
7500,30,Male,Employee of a private for profit,Bachelor's degree
10600,38,Male,Employee of a private for profit,Bachelor's degree
70000,36,Female,Employee of a private for profit,Bachelor's degree
85000,34,Male,Employee of a private for profit,Bachelor's degree
1.00E+05,24,Male,Employee of a private for profit,Master's degree
120000,48,Male,Employee of a private for profit,Master's degree
1.00E+05,45,Male,State government employee,Regular high school diploma
24700,38,Male,Employee of a private for profit,Master's degree
52000,28,Male,Local government employee,Bachelor's degree
10000,48,Female,Employee of a private for profit,GED or alternative credential
113900,46,Male,Employee of a private for profit,Master's degree
43500,28,Male,Employee of a private for profit,Master's degree
140500,39,Male,Employee of a private for profit,Master's degree
16000,37,Male,Employee of a private for profit,Master's degree
35000,38,Female,Employee of a private for profit,Bachelor's degree
80000,40,Male,Self employed incorporated,"some college credit, no degree"
55750,27,Female,Local government employee,Bachelor's degree
2500,36,Female,Employee of a private for profit,"some college credit, no degree"
35000,25,Female,Employee of a private for profit,Master's degree
40000,44,Female,Private not-for-profit employee,"some college credit, no degree"
98001,31,Female,Employee of a private for profit,Bachelor's degree
14210,46,Male,Employee of a private for profit,Associate's degree
75000,49,Male,Employee of a private for profit,Regular high school diploma
11800,30,Male,Employee of a private for profit,"some college credit, no degree"
10500,24,Female,Employee of a private for profit,Bachelor's degree
21900,30,Female,Local government employee,Regular high school diploma
32000,45,Male,Employee of a private for profit,no high school diploma
45000,35,Male,Employee of a private for profit,"some college credit, no degree"
52200,46,Female,Local government employee,Regular high school diploma
60000,31,Female,Private not-for-profit employee,Bachelor's degree
70000,32,Female,Employee of a private for profit,Master's degree
140000,34,Male,Employee of a private for profit,Associate's degree
170000,47,Male,Local government employee,Master's degree
60000,29,Male,Employee of a private for profit,Professional degree
34000,27,Male,Local government employee,Regular high school diploma
2.00E+05,35,Male,Employee of a private for profit,Bachelor's degree
60000,38,Female,Employee of a private for profit,Regular high school diploma
23400,26,Female,Federal government employee,Bachelor's degree
120000,30,Female,Employee of a private for profit,Master's degree
36000,41,Female,Employee of a private for profit,Regular high school diploma
45000,26,Female,Local government employee,Master's degree
5000,41,Male,Employee of a private for profit,Regular high school diploma
13000,40,Female,Employee of a private for profit,Regular high school diploma
42000,42,Male,Employee of a private for profit,GED or alternative credential
49600,25,Female,Employee of a private for profit,Bachelor's degree
180000,46,Male,Employee of a private for profit,Doctorate degree
40000,40,Male,Employee of a private for profit,no high school diploma
32000,33,Male,Employee of a private for profit,Bachelor's degree
20000,43,Female,Employee of a private for profit,Bachelor's degree
23100,21,Female,Employee of a private for profit,"some college credit, no degree"
110000,33,Female,Employee of a private for profit,Bachelor's degree
61800,49,Male,Local government employee,Bachelor's degree
48000,22,Male,Federal government employee,Associate's degree
16600,31,Female,Employee of a private for profit,Regular high school diploma
65000,33,Male,Employee of a private for profit,Bachelor's degree
22000,37,Male,Employee of a private for profit,"some college credit, no degree"
150000,42,Female,Employee of a private for profit,Bachelor's degree
9000,45,Female,Employee of a private for profit,GED or alternative credential
22000,21,Female,Employee of a private for profit,Regular high school diploma
72000,33,Male,Employee of a private for profit,Bachelor's degree
129800,35,Female,Employee of a private for profit,Professional degree
40000,36,Female,State government employee,Bachelor's degree
34000,29,Male,Federal government employee,"some college credit, no degree"
12000,20,Female,Employee of a private for profit,Regular high school diploma
65000,38,Male,Employee of a private for profit,Associate's degree
15600,33,Male,Employee of a private for profit,"some college credit, no degree"
20000,49,Female,State government employee,Regular high school diploma
98000,38,Male,Federal government employee,Master's degree
10000,23,Male,Employee of a private for profit,Regular high school diploma
30000,47,Male,Self employed incorporated,"some college credit, no degree"
60000,45,Male,Federal government employee,"some college credit, no degree"
28500,33,Male,Employee of a private for profit,"some college credit, no degree"
66000,47,Female,Employee of a private for profit,Bachelor's degree
27000,32,Female,State government employee,GED or alternative credential
38000,21,Male,Employee of a private for profit,"some college credit, no degree"
85000,44,Female,State government employee,Bachelor's degree
11000,23,Female,Local government employee,"some college credit, no degree"
1.00E+05,30,Male,Self employed not incorporated,Bachelor's degree
73700,39,Male,Local government employee,Bachelor's degree
15000,44,Male,Employee of a private for profit,Regular high school diploma
15000,36,Male,Employee of a private for profit,no high school diploma
35000,41,Male,Employee of a private for profit,Regular high school diploma
30000,38,Male,Local government employee,Regular high school diploma
28500,32,Male,State government employee,"some college credit, no degree"
40000,36,Female,Self employed incorporated,Associate's degree
68000,36,Female,State government employee,Regular high school diploma
60000,42,Male,Employee of a private for profit,Associate's degree
18000,48,Female,Employee of a private for profit,Regular high school diploma
32000,36,Female,Private not-for-profit employee,Associate's degree
35000,35,Female,Employee of a private for profit,"some college credit, no degree"
89000,45,Male,Employee of a private for profit,Associate's degree
27000,48,Male,Employee of a private for profit,GED or alternative credential
35000,46,Female,Private not-for-profit employee,"some college credit, no degree"
31300,50,Female,State government employee,Regular high school diploma
40000,40,Male,Employee of a private for profit,no high school diploma
36000,30,Male,Employee of a private for profit,Associate's degree
12000,25,Female,Local government employee,"some college credit, no degree"
40000,27,Male,Employee of a private for profit,"some college credit, no degree"
28000,37,Male,Self employed not incorporated,"some college credit, no degree"
33000,40,Female,Federal government employee,"some college credit, no degree"
107000,49,Male,Self employed not incorporated,Regular high school diploma
20000,30,Male,Employee of a private for profit,Regular high school diploma
37000,26,Male,Local government employee,Regular high school diploma
22000,50,Female,Local government employee,"some college credit, no degree"
60000,24,Female,Federal government employee,Master's degree
35000,25,Male,Private not-for-profit employee,Bachelor's degree
25000,38,Female,Employee of a private for profit,"some college credit, no degree"
30400,37,Male,State government employee,Regular high school diploma
41000,43,Female,Federal government employee,Associate's degree
19000,36,Female,Employee of a private for profit,Regular high school diploma
20000,42,Male,Private not-for-profit employee,Regular high school diploma
27600,27,Male,Employee of a private for profit,"some college credit, no degree"
35000,28,Female,Employee of a private for profit,Associate's degree
26000,49,Male,Employee of a private for profit,Associate's degree
16000,27,Female,Employee of a private for profit,Regular high school diploma
22400,29,Male,Employee of a private for profit,Associate's degree
16000,35,Male,Employee of a private for profit,no high school diploma
32000,50,Female,Employee of a private for profit,"some college credit, no degree"
45000,25,Male,Employee of a private for profit,"some college credit, no degree"
40000,32,Male,Employee of a private for profit,Bachelor's degree
27000,28,Female,Employee of a private for profit,Associate's degree
54000,29,Male,State government employee,Master's degree
28000,37,Female,Private not-for-profit employee,"some college credit, no degree"
38000,39,Male,Employee of a private for profit,"some college credit, no degree"
25300,35,Male,State government employee,Regular high school diploma
96500,36,Female,Employee of a private for profit,Master's degree
35000,38,Male,Employee of a private for profit,no high school diploma
39700,35,Male,State government employee,Bachelor's degree
28000,30,Male,Employee of a private for profit,Regular high school diploma
52000,42,Male,Employee of a private for profit,Associate's degree
30800,35,Male,Employee of a private for profit,Regular high school diploma
30000,31,Male,Employee of a private for profit,Regular high school diploma
4300,26,Male,Employee of a private for profit,"some college credit, no degree"
41000,41,Female,Employee of a private for profit,Bachelor's degree
48900,33,Female,Employee of a private for profit,no high school diploma
19000,37,Female,Employee of a private for profit,"some college credit, no degree"
17300,21,Male,Employee of a private for profit,Regular high school diploma
35000,29,Female,Employee of a private for profit,"some college credit, no degree"
140100,49,Male,Federal government employee,Doctorate degree
75000,48,Female,Employee of a private for profit,"some college credit, no degree"
19000,38,Female,Employee of a private for profit,"some college credit, no degree"
36000,43,Female,Employee of a private for profit,"some college credit, no degree"
35100,38,Male,Self employed not incorporated,Regular high school diploma
54000,42,Male,Self employed not incorporated,no high school diploma
18500,20,Male,Employee of a private for profit,Regular high school diploma
10300,23,Female,Employee of a private for profit,Regular high school diploma
65000,48,Male,Employee of a private for profit,no high school diploma
28000,40,Female,Employee of a private for profit,"some college credit, no degree"
1.00E+05,38,Male,Employee of a private for profit,"some college credit, no degree"
18000,49,Male,Employee of a private for profit,no high school diploma
35000,27,Male,Employee of a private for profit,Bachelor's degree
30000,22,Male,Employee of a private for profit,"some college credit, no degree"
28000,48,Male,Self employed not incorporated,Regular high school diploma
22600,31,Male,Employee of a private for profit,"some college credit, no degree"
72000,35,Male,Employee of a private for profit,"some college credit, no degree"
39600,35,Female,State government employee,Master's degree
15000,30,Female,Employee of a private for profit,"some college credit, no degree"
50000,39,Male,Employee of a private for profit,no high school diploma
120000,46,Male,Self employed incorporated,Bachelor's degree
13000,45,Female,Employee of a private for profit,no high school diploma
54000,32,Male,Employee of a private for profit,Bachelor's degree
80000,43,Male,Employee of a private for profit,Bachelor's degree
23000,29,Male,Employee of a private for profit,Regular high school diploma
24000,25,Female,Employee of a private for profit,"some college credit, no degree"
55000,42,Male,Employee of a private for profit,GED or alternative credential
41500,26,Female,Private not-for-profit employee,Master's degree
90000,48,Female,Local government employee,"some college credit, no degree"
150000,31,Female,Employee of a private for profit,Bachelor's degree
35000,25,Female,Employee of a private for profit,Bachelor's degree
23900,42,Female,Employee of a private for profit,Regular high school diploma
9000,26,Female,Employee of a private for profit,Professional degree
20000,32,Female,Employee of a private for profit,"some college credit, no degree"
25000,35,Female,Employee of a private for profit,Regular high school diploma
10000,43,Female,Employee of a private for profit,Regular high school diploma
100180,38,Female,Private not-for-profit employee,Master's degree
105000,36,Male,Employee of a private for profit,Bachelor's degree
1.00E+05,46,Male,Employee of a private for profit,Regular high school diploma
30000,50,Female,Private not-for-profit employee,Bachelor's degree
13500,35,Female,Employee of a private for profit,GED or alternative credential
67000,42,Female,Employee of a private for profit,Regular high school diploma
35000,30,Female,Employee of a private for profit,Associate's degree
13000,47,Female,Employee of a private for profit,no high school diploma
53000,50,Male,Self employed incorporated,Regular high school diploma
26000,30,Female,Employee of a private for profit,Regular high school diploma
35400,37,Male,Employee of a private for profit,Regular high school diploma
8500,22,Female,Local government employee,"some college credit, no degree"
62000,35,Female,Employee of a private for profit,Master's degree
54000,43,Male,Employee of a private for profit,Bachelor's degree
101000,50,Male,Employee of a private for profit,Master's degree
40200,49,Male,Private not-for-profit employee,Professional degree
80000,37,Male,Employee of a private for profit,GED or alternative credential
50000,32,Female,Employee of a private for profit,Bachelor's degree
23000,28,Female,Employee of a private for profit,"some college credit, no degree"
20000,22,Female,Employee of a private for profit,Bachelor's degree
180000,35,Female,Employee of a private for profit,Bachelor's degree
60000,41,Male,Self employed not incorporated,Associate's degree
85000,41,Female,Local government employee,Master's degree
78000,36,Female,State government employee,Professional degree
42100,25,Male,Employee of a private for profit,Bachelor's degree
80000,31,Male,Employee of a private for profit,Professional degree
80000,35,Male,Employee of a private for profit,Bachelor's degree
45000,26,Female,Employee of a private for profit,Master's degree
39000,41,Female,Employee of a private for profit,Bachelor's degree
32000,44,Female,Self employed incorporated,Master's degree
24000,44,Male,Employee of a private for profit,no high school diploma
30000,21,Male,Employee of a private for profit,Regular high school diploma
10400,44,Female,Employee of a private for profit,no high school diploma
70000,37,Male,Self employed incorporated,no high school diploma
28000,24,Female,Private not-for-profit employee,Regular high school diploma
32400,28,Male,Employee of a private for profit,"some college credit, no degree"
31700,27,Female,Self employed incorporated,Associate's degree
20000,23,Female,Employee of a private for profit,Associate's degree
45000,27,Male,Private not-for-profit employee,Bachelor's degree
140000,32,Male,Employee of a private for profit,Master's degree
25000,43,Male,Employee of a private for profit,"some college credit, no degree"
45000,28,Male,Private not-for-profit employee,Master's degree
70000,24,Female,Local government employee,Master's degree
10000,44,Male,Employee of a private for profit,Regular high school diploma
26400,41,Male,Employee of a private for profit,Regular high school diploma
150000,46,Male,Employee of a private for profit,Bachelor's degree
1.00E+05,28,Male,Self employed incorporated,Bachelor's degree
140000,39,Female,Employee of a private for profit,Master's degree
66500,48,Female,Employee of a private for profit,Bachelor's degree
14000,48,Male,Private not-for-profit employee,Regular high school diploma
2.00E+05,50,Male,Employee of a private for profit,"some college credit, no degree"
40000,49,Male,Employee of a private for profit,no high school diploma
1.00E+05,49,Male,Employee of a private for profit,Regular high school diploma
25000,27,Female,Employee of a private for profit,Associate's degree
14400,29,Female,Employee of a private for profit,no high school diploma
40000,40,Male,Local government employee,GED or alternative credential
46000,29,Female,Private not-for-profit employee,Master's degree
49800,40,Male,Employee of a private for profit,Bachelor's degree
80000,49,Female,Private not-for-profit employee,Associate's degree
18300,22,Female,Employee of a private for profit,Associate's degree
90000,48,Male,Employee of a private for profit,Master's degree
78000,36,Male,Self employed incorporated,Doctorate degree
125000,38,Male,Employee of a private for profit,Bachelor's degree
1.00E+05,43,Male,Employee of a private for profit,Associate's degree
25000,24,Male,Employee of a private for profit,Bachelor's degree
5000,23,Male,Employee of a private for profit,Regular high school diploma
48000,23,Female,Employee of a private for profit,no high school diploma
17300,31,Male,Employee of a private for profit,Regular high school diploma
20800,46,Female,Employee of a private for profit,Regular high school diploma
